,股票代码,综合排名,最新季报增长率,EPS,股价强度,SMR,收益额增长稳定性,ROE,年度新高,量比变化,,行业板块,行业板块强度,季报日期,公告日,港股持股比例,当日涨幅,最新业绩预告,预告下限,预告上线
,code,cumulative_rank,new_quarter_eps,eps,rps,smr,eps_stability,roe,decline_range,volume_ratio,index_code,industry_name,industry_rps,period_date,ann_date,hk_hold,pct_chg,forecast,p_change_min,p_change_max
2710,600742.SH,46.7,-144.24,52.1,53.9,22.7,36.5,10.3538,-23.9,0.95,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-24,1.74,-0.71,,,
2711,600743.SH,15.5,-225.0,42.1,28.3,3.0,88.4,9.3907,-18.0,0.58,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.09,-0.47,,,
2712,600744.SH,1.6,-228.57,9.8,14.0,14.0,98.9,0.834,-40.8,0.63,851611.SI,火电,16.7,2020-03-31,2020-04-30,,-0.44,,,
2713,600745.SH,100.0,714.29,99.4,99.6,99.1,90.4,10.1159,-26.7,1.14,850852.SI,电子零部件制造,100.0,2020-03-31,2020-04-30,2.93,2.37,略增,,
2714,600746.SH,58.6,1753.85,20.9,63.5,99.6,94.2,-0.3877,-36.7,0.39,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-29,,-0.3,,,
2715,600748.SH,20.5,0.0,58.2,8.2,66.0,14.7,7.6094,-50.4,0.96,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,1.93,-1.36,,,
2716,600749.SH,34.0,-147.32,81.7,26.6,16.9,86.9,1.9751,-30.9,0.98,852112.SI,自然景点,29.5,2020-03-31,2020-04-18,,-0.23,不确定,,
2717,600750.SH,70.9,4.17,50.6,51.5,78.9,0.7,13.6073,-8.0,0.57,851521.SI,中药,78.0,2020-03-31,2020-04-25,4.68,-0.4,,,
2718,600751.SH,95.8,184.53,98.2,55.2,99.7,99.3,3.836,-15.8,2.54,850841.SI,其他电子,93.8,2020-03-31,2020-04-30,,2.9,,,
2719,600753.SH,50.3,78.57,97.2,4.6,95.6,93.8,10.089,-37.2,0.75,852021.SI,贸易,21.6,2020-03-31,2020-04-30,,-0.49,,,
2720,600754.SH,59.4,-42.26,58.4,74.5,15.7,8.0,8.4439,-3.7,0.74,852121.SI,酒店,36.1,2020-03-31,2020-04-30,2.06,-0.27,,,
2721,600755.SH,19.6,-41.18,58.6,19.9,22.6,22.6,9.5663,-27.6,0.41,852021.SI,贸易,21.6,2020-03-31,2020-04-30,0.65,-0.76,,,
2722,600756.SH,32.7,-400.0,69.4,21.1,6.2,61.6,1.1318,-30.4,1.78,852226.SI,IT服务,70.5,2020-03-31,2020-04-30,3.02,1.31,,,
2723,600757.SH,45.7,-50.0,55.2,26.6,41.1,17.8,11.2565,-22.2,1.04,852241.SI,平面媒体,85.5,2020-03-31,2020-04-30,0.04,-0.18,不确定,,
2724,600758.SH,6.8,-185.71,48.9,7.7,19.3,80.7,0.482,-44.1,0.51,850221.SI,煤炭开采,10.1,2020-03-31,2020-04-30,0.0,-0.59,首亏,,
2725,600759.SH,0.2,-653.33,11.6,3.8,2.6,84.0,1.108,-56.2,1.16,850211.SI,石油开采,8.4,2020-03-31,2020-04-30,0.0,-1.59,不确定,,
2726,600760.SH,76.2,207.14,62.8,71.2,77.2,69.2,10.6071,-14.0,0.77,857421.SI,航空装备,43.2,2020-03-31,2020-04-25,3.62,1.18,,,
2727,600761.SH,51.4,-47.67,63.3,51.5,38.4,12.9,13.6366,-8.7,0.6,850722.SI,工程机械,27.8,2020-03-31,2020-04-30,0.31,-0.52,,,
2728,600763.SH,94.3,-120.0,83.9,93.5,21.4,32.5,29.8694,-0.4,2.6,851561.SI,医疗服务,96.9,2020-03-31,2020-04-24,3.04,4.79,,,
2729,600764.SH,22.3,-221.65,30.6,52.7,6.1,87.1,24.7514,-27.4,1.29,857431.SI,地面兵装,39.6,2020-03-31,2020-04-29,0.06,-1.21,,,
2730,600765.SH,75.3,0.0,64.2,65.6,82.6,39.6,5.304,-13.7,1.01,857421.SI,航空装备,43.2,2020-03-31,2020-04-30,0.55,-1.67,,,
2731,600766.SH,62.8,100.0,91.8,19.9,87.3,62.4,17.8022,-37.8,1.5,850531.SI,黄金,52.9,2020-03-31,2020-04-29,,0.56,,,
2732,600767.SH,22.1,16.67,14.7,16.2,71.0,67.8,-28.0872,-45.9,0.86,851561.SI,医疗服务,96.9,2020-03-31,2020-04-30,,-0.57,,,
2733,600768.SH,59.9,50.0,96.8,41.1,48.1,94.6,67.6407,-40.0,0.83,850551.SI,铝,32.2,2020-03-31,2020-04-30,,-1.14,,,
2734,600769.SH,73.9,0.0,82.0,61.5,77.0,41.6,5.7475,-21.8,1.68,850623.SI,房屋建设,22.5,2020-03-31,2020-04-27,,1.08,,,
2735,600770.SH,15.1,50.0,46.3,11.0,11.3,71.9,1.5893,-36.8,0.98,852311.SI,综合,64.3,2020-03-31,2020-04-30,0.01,-1.44,,,
2736,600771.SH,47.2,-62.5,57.3,25.1,66.5,94.7,5.6009,-36.3,1.07,851521.SI,中药,78.0,2020-03-31,2020-04-30,0.54,2.22,,,
2737,600773.SH,44.3,-9.68,54.3,37.8,69.8,7.1,3.1317,-19.9,0.78,851811.SI,房地产开发,29.1,2020-03-31,2020-04-25,0.05,-0.66,,,
2738,600774.SH,59.7,-1074.19,73.5,44.1,8.5,75.9,4.9024,-16.3,0.62,852033.SI,多业态零售,87.7,2020-03-31,2020-04-30,,-0.63,,,
2739,600775.SH,9.1,-402.72,33.1,7.1,5.0,55.2,1.5227,-47.0,1.5,851012.SI,终端设备,80.2,2020-03-31,2020-04-10,1.34,-2.04,预减,-90.0,-90.0
2740,600776.SH,15.9,-72.73,58.8,11.0,5.3,17.8,4.2439,-41.4,0.56,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-29,0.16,-1.11,,,
2741,600777.SH,51.1,560.67,93.1,14.0,97.4,73.8,6.9655,-34.0,0.72,850211.SI,石油开采,8.4,2020-03-31,2020-04-23,0.82,0.65,不确定,,
2742,600778.SH,62.5,-188.28,91.6,33.5,15.3,91.4,13.819,-28.7,0.67,852033.SI,多业态零售,87.7,2020-03-31,2020-04-30,0.01,-1.33,略减,,
2743,600779.SH,96.7,-12.58,85.1,82.0,75.9,31.5,41.6386,-0.5,2.32,851231.SI,白酒,85.0,2020-03-31,2020-04-25,6.64,9.15,,,
2744,600780.SH,60.7,-14.12,86.1,44.1,57.0,79.8,5.3415,-14.4,1.12,851611.SI,火电,16.7,2020-03-31,2020-04-29,0.0,0.0,,,
2745,600781.SH,10.2,-88.24,33.8,1.1,29.5,31.0,11.2906,-66.3,1.24,851512.SI,化学制剂,92.1,2020-03-31,2020-04-30,0.0,5.07,,,
2746,600781.SH,10.2,-88.24,33.8,1.1,29.5,31.0,8.2467,-66.3,1.24,851512.SI,化学制剂,92.1,2020-03-31,2020-04-30,0.0,5.07,,,
2747,600782.SH,61.1,-33.33,96.2,28.3,47.3,72.6,16.7815,-20.4,0.53,850411.SI,普钢,44.9,2020-03-31,2020-04-28,3.18,-0.96,,,
2748,600783.SH,52.1,-157.14,89.9,28.3,15.7,54.0,6.1671,-25.6,0.75,851921.SI,多元金融,63.4,2020-03-31,2020-04-30,0.02,-1.75,,,
2749,600784.SH,13.3,-176.92,14.0,28.3,18.3,97.5,0.8557,-23.4,0.84,852311.SI,综合,64.3,2020-03-31,2020-04-29,0.0,-0.92,,,
2750,600785.SH,76.7,-52.0,81.5,45.5,42.9,41.0,8.101,-8.9,0.64,852033.SI,多业态零售,87.7,2020-03-31,2020-04-28,0.0,-1.96,,,
2751,600787.SH,36.9,30.77,31.9,26.6,80.7,52.1,2.5143,-24.8,0.66,851781.SI,物流,69.6,2020-03-31,2020-04-30,4.22,-0.45,,,
2752,600789.SH,77.7,-85.71,91.7,61.5,31.6,64.5,4.0768,-50.0,0.44,851512.SI,化学制剂,92.1,2020-03-31,2020-04-30,,-2.24,,,
2753,600790.SH,52.0,-33.33,41.3,33.5,59.5,10.9,6.0461,-14.9,0.51,852052.SI,专业市场,95.2,2020-03-31,2020-04-29,0.05,-0.63,,,
2754,600791.SH,12.9,-300.0,26.5,33.5,13.1,61.4,0.8927,-20.6,1.04,851811.SI,房地产开发,29.1,2020-03-31,2020-04-25,,-0.86,,,
2755,600792.SH,39.1,-90.0,91.9,21.1,26.9,90.8,7.4257,-31.7,0.35,850222.SI,焦炭加工,27.3,2020-03-31,2020-04-28,,-0.35,,,
2756,600793.SH,58.7,-170.41,99.6,7.1,70.2,93.2,2.4228,-27.7,0.84,851411.SI,造纸,55.5,2020-03-31,2020-04-30,,-1.22,首亏,,
2757,600794.SH,11.1,-10.14,10.5,11.9,56.9,82.0,8.381,-40.0,0.69,851781.SI,物流,69.6,2020-03-31,2020-04-28,0.03,-0.65,,,
2758,600795.SH,3.6,-155.71,23.5,14.0,8.3,33.5,3.5694,-30.0,0.75,851611.SI,火电,16.7,2020-03-31,2020-04-30,1.67,-1.09,,,
2759,600796.SH,51.2,0.0,29.9,52.7,52.9,57.3,3.2646,-27.8,0.75,851531.SI,生物制品,96.0,2020-03-31,2020-04-29,,-0.19,,,
2760,600797.SH,20.2,-150.0,21.6,37.8,19.3,56.6,1.2441,-32.5,2.45,852226.SI,IT服务,70.5,2020-03-31,2020-04-30,0.0,1.56,,,
2761,600798.SH,22.8,-189.32,62.8,28.3,14.4,86.7,4.7503,-30.3,0.6,851761.SI,航运,20.3,2020-03-31,2020-04-30,,0.0,不确定,-110.0,-90.0
2762,600800.SH,9.0,-133.33,12.8,21.1,17.8,62.0,-66.2769,-29.5,0.7,851021.SI,计算机设备,62.1,2020-03-31,2020-04-29,,-0.42,,,
2763,600801.SH,74.9,-64.58,96.2,75.9,36.7,95.3,33.3964,-17.7,0.96,850612.SI,水泥制造,6.2,2020-03-31,2020-04-29,6.58,-2.0,,,
2764,600802.SH,34.0,5.26,8.8,80.7,66.5,81.7,41.4875,-19.6,1.0,850612.SI,水泥制造,6.2,2020-03-31,2020-04-28,0.14,-1.37,,,
2765,600803.SH,71.6,-82.76,73.1,58.6,27.1,61.4,13.4631,-13.6,0.81,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-28,5.79,-0.75,,,
2766,600804.SH,59.5,33.33,2.5,70.7,92.3,83.5,-152.8635,-3.0,1.17,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-30,1.06,2.74,,,
2767,600804.SH,59.5,33.33,2.5,70.7,92.3,83.5,-150.3532,-3.0,1.17,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-30,1.06,2.74,,,
2768,600805.SH,7.5,-900.0,17.5,18.6,2.7,83.5,1.7407,-34.7,0.61,852311.SI,综合,64.3,2020-03-31,2020-04-28,0.06,-0.71,首亏,,
2769,600807.SH,83.4,600.0,91.1,57.6,90.8,87.3,5.7752,-8.6,1.0,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.01,0.65,,,
2770,600807.SH,83.4,600.0,91.1,57.6,90.8,87.3,4.9972,-8.6,1.0,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.01,0.65,,,
2771,600808.SH,64.4,400.0,87.5,21.1,97.1,62.7,4.0944,-28.8,0.41,850411.SI,普钢,44.9,2020-03-31,2020-04-29,1.48,-0.76,,,
2772,600809.SH,99.0,39.36,82.2,96.7,87.4,8.6,28.3799,-0.4,1.33,851231.SI,白酒,85.0,2020-03-31,2020-04-28,3.83,1.99,,,
2773,600810.SH,39.0,-90.48,97.9,5.5,29.2,78.1,12.7993,-45.0,1.23,850344.SI,其他纤维,57.3,2020-03-31,2020-04-30,,-1.38,,,
2774,600811.SH,68.3,35.29,29.5,71.2,80.0,26.1,2.8055,-1.5,0.67,852311.SI,综合,64.3,2020-03-31,2020-04-30,0.27,0.22,,,
2775,600812.SH,96.5,105.26,96.9,98.2,21.1,65.8,2.7893,-12.8,0.59,851512.SI,化学制剂,92.1,2020-03-31,2020-04-17,,-3.18,,,
2776,600814.SH,74.5,-100.11,56.7,69.2,26.9,27.0,9.5025,-8.5,0.96,852031.SI,百货,96.5,2020-03-31,2020-04-25,0.19,-2.11,,,
2777,600816.SH,2.1,-313.13,15.8,1.9,7.1,82.2,-40.6542,-61.7,0.99,851921.SI,多元金融,63.4,2020-03-31,2020-04-30,0.05,4.88,不确定,,
2778,600817.SH,93.8,437.5,86.8,71.8,99.0,84.1,1.8065,-11.7,0.85,852311.SI,综合,64.3,2020-03-31,2020-04-30,,-1.62,首亏,,
2779,600818.SH,18.6,800.0,5.7,55.2,4.7,82.3,-10.4755,-21.3,0.66,852311.SI,综合,64.3,2020-03-31,2020-04-28,0.23,-0.17,,,
2780,600819.SH,39.6,-175.0,82.5,22.4,7.6,57.7,6.5444,-23.2,0.79,850611.SI,玻璃制造,55.1,2020-03-31,2020-04-30,,-1.11,,,
2781,600820.SH,34.9,-42.86,53.3,44.1,41.8,4.6,10.0809,-9.8,0.94,857231.SI,城轨建设,8.8,2020-03-31,2020-04-29,1.47,-0.5,,,
2782,600821.SH,23.3,18.18,1.6,53.9,18.3,95.8,-180.1544,-36.5,0.86,852031.SI,百货,96.5,2019-12-31,2020-04-28,,-0.74,,,
2783,600822.SH,46.0,-120.34,87.2,41.1,20.3,60.5,9.6381,-29.7,0.63,852021.SI,贸易,21.6,2020-03-31,2020-04-30,,-2.59,,,
2784,600823.SH,43.7,-14.29,48.3,44.1,59.7,0.5,9.9045,-11.8,1.09,851811.SI,房地产开发,29.1,2020-03-31,2020-04-29,2.72,-0.93,,,
2785,600824.SH,48.9,-96.67,28.0,65.6,30.1,18.0,3.734,-19.0,1.04,851327.SI,其他服装,81.5,2020-03-31,2020-04-28,0.39,-0.71,不确定,,
2786,600825.SH,52.7,-150.0,23.4,75.9,15.1,27.3,0.775,-7.6,0.58,852241.SI,平面媒体,85.5,2020-03-31,2020-04-30,0.08,-1.2,,,
2787,600826.SH,20.1,-140.0,20.6,50.2,40.9,73.6,5.4339,-28.5,0.81,852021.SI,贸易,21.6,2020-03-31,2020-04-30,0.88,-0.58,预减,,
2788,600827.SH,70.4,-94.44,44.2,83.4,22.5,15.9,5.5367,-14.3,0.98,852033.SI,多业态零售,87.7,2020-03-31,2020-04-30,0.07,-4.73,,,
2789,600828.SH,66.9,-77.4,76.3,39.5,31.6,24.3,20.3896,-19.9,0.86,852031.SI,百货,96.5,2020-03-31,2020-04-30,1.25,-1.57,,,
2790,600829.SH,67.0,-34.31,49.6,67.5,48.6,9.3,15.6007,-31.7,0.38,851541.SI,医药商业,89.4,2020-03-31,2020-04-18,0.01,-0.76,,,
2791,600830.SH,39.9,-29.41,20.5,62.5,43.3,12.4,1.2705,-22.5,1.65,851921.SI,多元金融,63.4,2020-03-31,2020-04-18,0.08,2.5,,,
2792,600831.SH,12.9,-163.49,17.0,16.2,21.2,40.9,-2.9257,-36.6,1.48,852224.SI,有线电视网络,90.7,2020-03-31,2020-04-30,0.06,3.03,首亏,,
2793,600833.SH,79.8,31.91,48.2,61.5,93.6,9.9,7.6504,-12.2,0.43,851541.SI,医药商业,89.4,2020-03-31,2020-04-30,0.01,-1.55,,,
2794,600834.SH,60.8,-47.77,64.4,87.8,32.7,39.1,4.6079,-29.3,0.55,851721.SI,公交,12.3,2020-03-31,2020-04-30,,-3.32,预增,100.0,
2795,600835.SH,31.5,-60.87,32.8,64.6,34.7,6.6,9.7345,-19.0,0.76,850728.SI,楼宇设备,13.2,2020-03-31,2020-04-29,7.97,0.42,,,
2796,600836.SH,62.4,1617.39,12.8,74.5,97.8,90.0,-11.2667,-24.8,0.97,851421.SI,包装印刷,76.7,2020-03-31,2020-04-30,,0.4,扭亏,,
2797,600837.SH,62.9,-39.39,63.4,52.7,34.2,39.4,7.8076,-23.4,1.17,851931.SI,证券,83.3,2020-03-31,2020-04-29,1.54,0.95,,,
2798,600838.SH,60.5,-62.76,29.0,64.6,52.8,29.6,7.7908,-9.2,0.79,852033.SI,多业态零售,87.7,2020-03-31,2020-04-29,0.1,-3.24,,,
2799,600839.SH,22.5,-832.69,19.6,56.4,0.8,70.1,0.4646,-25.7,1.18,851121.SI,彩电,59.0,2020-03-31,2020-04-28,0.03,1.01,,,
2800,600841.SH,45.2,-26.67,51.5,42.6,55.9,19.3,3.1078,-19.0,2.45,850714.SI,内燃机,41.0,2020-03-31,2020-04-25,,-0.85,,,
2801,600843.SH,21.2,-92.6,31.8,41.1,46.3,25.5,3.7884,-30.0,0.38,850721.SI,纺织服装设备,19.4,2020-03-31,2020-04-30,,-0.75,,,
2802,600844.SH,8.3,12.18,0.1,11.0,55.1,99.2,-13.5415,-44.6,0.71,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-30,,-0.91,,,
2803,600845.SH,97.1,45.78,85.0,91.5,77.8,15.9,12.8571,0.0,1.85,852226.SI,IT服务,70.5,2020-03-31,2020-04-22,2.95,8.07,,,
2804,600846.SH,74.9,50.0,84.7,52.7,86.9,34.5,23.9098,-14.9,0.83,850623.SI,房屋建设,22.5,2020-03-31,2020-04-30,0.87,-0.58,,,
2805,600847.SH,20.5,-101.02,7.5,39.5,26.8,81.1,1.2975,-18.6,0.97,857335.SI,储能设备,75.3,2020-03-31,2020-04-30,,0.75,,,
2806,600848.SH,28.4,0.0,44.4,11.9,93.4,82.7,13.1825,-44.5,0.74,851821.SI,园区开发,49.3,2020-03-31,2020-04-29,0.3,-0.57,,,
2807,600850.SH,60.1,-19.51,47.7,64.6,50.6,2.3,13.1127,-28.8,0.92,852226.SI,IT服务,70.5,2020-03-31,2020-04-21,1.13,-0.04,,,
2808,600851.SH,62.2,-42.33,51.6,53.9,51.9,26.2,2.8597,-31.1,0.44,851512.SI,化学制剂,92.1,2020-03-31,2020-04-29,,-0.94,,,
2809,600853.SH,40.7,44.09,94.5,14.0,65.7,71.4,13.1972,-37.1,0.99,857232.SI,路桥施工,7.5,2020-03-31,2020-04-30,,-1.51,,,
2810,600854.SH,71.7,-5.38,83.0,57.6,67.1,58.6,1.3511,-13.3,1.93,851112.SI,空调,22.0,2020-03-31,2020-04-30,,0.51,,,
2811,600855.SH,79.2,-71.92,95.3,73.2,34.0,96.0,2.9707,-46.2,0.5,851021.SI,计算机设备,62.1,2020-03-31,2020-04-30,,-2.33,,,
2812,600856.SH,0.1,-71.43,9.2,0.4,13.9,67.7,-134.9453,-73.2,3.61,851631.SI,燃气,14.1,2020-03-31,2020-04-29,0.13,1.06,,,
2813,600857.SH,32.5,-161.11,6.5,53.9,24.7,77.5,9.7212,-15.1,0.61,852031.SI,百货,96.5,2020-03-31,2020-04-28,,-0.22,略减,,
2814,600858.SH,80.5,-258.49,81.6,69.2,11.9,47.9,1.7222,-7.1,0.89,852033.SI,多业态零售,87.7,2020-03-31,2020-04-29,0.01,-1.75,不确定,,
2815,600859.SH,87.3,-150.29,60.9,98.2,19.1,43.8,8.6613,-4.8,1.12,852031.SI,百货,96.5,2020-03-31,2020-04-30,1.79,4.75,不确定,,
2816,600860.SH,6.9,-20.0,12.4,5.0,44.0,61.2,-32.3409,-48.1,1.3,850751.SI,金属制品,68.3,2020-03-31,2020-04-30,0.49,-4.73,,,
2817,600861.SH,53.0,-594.32,19.3,91.7,5.3,61.0,0.4219,-22.7,0.56,852033.SI,多业态零售,87.7,2020-03-31,2020-04-30,,-1.97,不确定,,
2818,600862.SH,96.5,62.2,93.4,92.7,85.0,81.9,13.8299,-9.0,1.34,857421.SI,航空装备,43.2,2020-03-31,2020-04-28,0.02,5.29,,,
2819,600863.SH,40.6,-30.77,77.5,26.6,52.7,94.4,8.1477,-25.2,0.92,851611.SI,火电,16.7,2020-03-31,2020-04-29,0.85,0.0,,,
2820,600864.SH,61.4,-68.02,77.1,36.3,40.4,83.9,1.8959,-28.5,3.89,851931.SI,证券,83.3,2020-03-31,2020-04-25,0.02,-7.88,,,
2821,600865.SH,88.4,-113.24,85.4,68.3,55.9,46.6,11.1751,-24.1,0.72,852031.SI,百货,96.5,2020-03-31,2020-04-29,,-0.44,不确定,,
2822,600866.SH,21.1,-17.58,13.1,39.5,63.8,74.8,12.0767,-46.5,0.59,851242.SI,调味发酵品,58.6,2020-03-31,2020-04-25,,-1.09,,,
2823,600867.SH,77.1,7.69,37.6,70.7,82.3,1.8,16.6834,-17.4,0.65,851531.SI,生物制品,96.0,2020-03-31,2020-04-24,6.9,2.07,,,
2824,600868.SH,72.4,44.44,83.4,30.0,89.9,58.1,2.4502,-25.2,0.82,851612.SI,水电,67.4,2020-03-31,2020-04-23,,-0.97,,,
2825,600869.SH,26.3,-184.4,60.7,37.8,17.5,63.2,0.9205,-27.1,1.74,857344.SI,线缆部件及其他,15.0,2020-03-31,2020-04-30,0.04,-0.25,,,
2826,600871.SH,33.5,-200.0,97.1,11.0,14.7,99.9,14.5786,-35.8,1.31,850241.SI,油气钻采服务,34.8,2020-03-31,2020-04-28,0.1,-1.15,,,
2827,600872.SH,89.8,8.92,71.5,84.7,74.4,10.1,19.0089,-0.7,0.73,851242.SI,调味发酵品,58.6,2020-03-31,2020-04-30,12.56,2.42,,,
2828,600873.SH,61.1,-27.27,40.0,55.2,62.3,32.1,10.9305,-4.0,0.72,850154.SI,其他农产品加工,72.2,2020-03-31,2020-04-23,0.04,-1.23,,,
2829,600874.SH,34.4,40.0,48.5,31.7,80.3,8.5,8.4573,-28.7,1.24,851621.SI,水务,21.1,2020-03-31,2020-04-28,0.64,-1.33,,,
2830,600875.SH,75.5,11.4,84.5,34.9,70.8,93.1,4.4028,-18.8,0.87,857331.SI,综合电力设备商,81.1,2020-03-31,2020-04-29,1.85,-0.88,,,
2831,600876.SH,87.6,60.0,90.4,67.5,87.1,85.3,4.2446,-27.1,0.75,850611.SI,玻璃制造,55.1,2020-03-31,2020-04-30,0.36,-0.98,,,
2832,600879.SH,47.4,-59.38,36.8,62.5,35.7,15.4,3.7798,-21.8,0.98,857411.SI,航天装备,61.2,2020-03-31,2020-04-24,0.82,-1.36,预减,-55.0,-40.0
2833,600880.SH,54.7,-50.0,2.4,78.2,57.9,91.2,2.3375,-7.1,0.87,852241.SI,平面媒体,85.5,2020-03-31,2020-04-30,0.04,1.89,,,
2834,600881.SH,46.3,-700.0,96.7,41.1,4.7,73.1,0.3703,-16.7,0.86,850612.SI,水泥制造,6.2,2020-03-31,2020-04-29,0.16,-0.34,,,
2835,600882.SH,98.0,319.47,87.1,99.5,96.1,70.5,1.5484,-7.1,1.04,851243.SI,乳品,47.6,2020-03-31,2020-04-29,,0.82,,,
2836,600883.SH,61.0,147.69,40.5,83.4,91.8,91.6,1.086,-25.1,1.0,850612.SI,水泥制造,6.2,2020-03-31,2020-04-30,,1.08,,,
2837,600884.SH,71.8,-334.38,61.8,64.6,10.5,54.1,2.3951,0.0,1.92,850841.SI,其他电子,93.8,2020-03-31,2020-04-30,0.46,-5.69,,,
2838,600885.SH,85.8,-9.52,51.2,91.5,65.9,4.0,15.051,-1.0,1.04,857343.SI,低压设备,70.9,2020-03-31,2020-04-30,9.65,0.51,,,
2839,600886.SH,59.3,42.7,51.0,52.7,59.6,12.9,12.1819,-21.5,0.79,851612.SI,水电,67.4,2020-03-31,2020-04-30,2.57,0.77,,,
2840,600887.SH,52.8,-48.65,51.5,48.6,54.6,6.4,25.6585,-10.4,1.35,851243.SI,乳品,47.6,2020-03-31,2020-04-29,11.87,0.5,,,
2841,600888.SH,66.3,18.81,89.0,44.1,62.8,52.1,3.5027,-24.2,0.93,850551.SI,铝,32.2,2020-03-31,2020-04-25,0.08,-1.72,,,
2842,600889.SH,13.1,-3433.33,3.2,62.5,8.0,93.7,-9.0503,-13.8,0.9,850343.SI,粘胶,17.6,2020-03-31,2020-04-23,,-0.74,,,
2843,600890.SH,18.5,-30.43,14.3,66.6,8.4,68.5,10.7037,-30.2,1.22,851811.SI,房地产开发,29.1,2020-03-31,2020-04-25,,0.0,续亏,,
2844,600892.SH,18.8,350.0,14.6,1.9,96.9,96.4,-103.7438,-56.9,1.33,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-29,,0.37,,,
2845,600893.SH,65.8,2152.94,43.3,62.5,92.8,88.2,3.9094,-12.4,1.04,857421.SI,航空装备,43.2,2020-03-31,2020-04-28,1.99,0.72,,,
2846,600894.SH,46.6,-68.7,74.5,51.5,34.8,62.9,5.8985,-29.0,1.08,850728.SI,楼宇设备,13.2,2020-03-31,2020-04-29,0.0,-1.43,,,
2847,600895.SH,52.3,72.73,38.0,50.2,77.8,19.0,6.4509,-12.8,0.65,851821.SI,园区开发,49.3,2020-03-31,2020-04-30,1.07,-0.98,,,
2848,600896.SH,21.4,-66.67,17.5,37.8,7.8,83.3,-10.4067,-33.5,0.55,851561.SI,医疗服务,96.9,2020-03-31,2020-04-28,,0.23,,,
2849,600897.SH,18.2,-97.44,54.5,12.9,23.1,18.8,14.1299,-32.1,0.42,851751.SI,机场,42.3,2020-03-31,2020-04-17,1.1,-0.56,不确定,,
2850,600900.SH,69.8,-21.43,43.1,61.5,76.8,2.1,14.7703,-4.6,1.67,851612.SI,水电,67.4,2020-03-31,2020-04-30,5.93,2.97,,,
2851,600901.SH,59.1,23.08,61.3,33.5,77.4,2.9,13.7589,-17.9,1.05,851921.SI,多元金融,63.4,2020-03-31,2020-04-30,0.08,1.15,,,
2852,600903.SH,20.7,-50.0,63.5,19.9,39.9,37.2,7.4896,-42.4,0.91,851631.SI,燃气,14.1,2020-03-31,2020-04-21,0.45,-1.01,,,
2853,600908.SH,40.2,18.75,54.4,34.9,72.2,0.6,11.1078,-13.5,1.08,851911.SI,银行,13.7,2020-03-31,2020-04-30,,-1.01,,,
2854,600909.SH,74.6,-30.77,71.0,65.6,40.7,47.6,8.5943,-29.8,0.73,851931.SI,证券,83.3,2020-03-31,2020-04-29,0.97,1.03,不确定,,
2855,600917.SH,38.2,-41.38,45.4,57.6,37.9,5.4,9.8892,-11.8,1.37,851631.SI,燃气,14.1,2020-03-31,2020-04-30,0.86,-1.1,,,
2856,600919.SH,29.7,12.12,50.3,26.6,69.3,0.6,11.4469,-20.3,1.28,851911.SI,银行,13.7,2020-03-31,2020-04-29,2.75,-0.5,,,
2857,600926.SH,59.6,20.0,57.4,61.5,72.8,2.3,11.0303,-9.6,0.58,851911.SI,银行,13.7,2020-03-31,2020-04-30,2.13,-0.79,,,
2858,600929.SH,20.6,0.0,39.0,17.4,68.4,3.0,6.0428,-30.4,1.17,850322.SI,氯碱,26.9,2020-03-31,2020-04-30,,-1.76,,,
2859,600933.SH,74.0,0.0,33.2,89.3,77.0,3.4,11.1419,-17.3,1.19,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,2.66,0.08,不确定,,
2860,600936.SH,28.1,-100.0,23.0,25.1,47.4,17.9,2.9384,-24.7,1.76,852224.SI,有线电视网络,90.7,2020-03-31,2020-04-29,,3.07,,,
2861,600939.SH,12.2,-400.0,48.1,15.1,18.2,54.8,5.9237,-29.7,0.61,850623.SI,房屋建设,22.5,2020-03-31,2020-04-30,,-0.27,略减,,
2862,600958.SH,68.4,-33.33,68.0,48.6,42.4,46.8,4.6073,-14.6,1.33,851931.SI,证券,83.3,2020-03-31,2020-04-30,1.5,1.78,,,
2863,600959.SH,24.8,-94.0,21.9,31.7,19.3,14.2,1.5359,-19.6,0.34,852224.SI,有线电视网络,90.7,2020-03-31,2020-04-30,0.04,-0.8,,,
2864,600960.SH,27.2,-145.11,46.8,28.3,20.1,49.8,1.5152,-24.5,0.46,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-30,,-0.31,,,
2865,600961.SH,9.3,144.44,2.4,6.5,93.9,99.6,145.1533,-42.7,0.93,850553.SI,铅锌,50.2,2020-03-31,2020-04-30,,-2.03,,,
