,ts_code,EPS,SMR,EPS_Stability
213,002519.SZ,4.4,72.5,77.9
214,002521.SZ,63.5,86.3,54.5
215,002534.SZ,75.4,96.0,63.2
216,002538.SZ,30.8,8.2,25.7
217,002546.SZ,62.5,36.1,29.6
218,002553.SZ,19.4,16.9,44.8
219,002555.SZ,74.8,95.9,46.1
220,002561.SZ,24.1,21.4,3.5
221,002568.SZ,93.4,93.5,61.8
222,002572.SZ,54.8,45.6,12.9
223,002593.SZ,32.8,25.7,40.5
224,002595.SZ,39.4,53.3,15.4
225,002597.SZ,60.7,40.9,51.5
226,002601.SZ,84.2,64.3,82.3
227,002607.SZ,81.2,88.2,66.1
228,002642.SZ,5.1,79.8,84.2
229,002658.SZ,19.8,14.8,37.5
230,002673.SZ,47.4,92.1,60.9
231,002695.SZ,72.3,43.4,16.3
232,002697.SZ,81.3,69.8,40.8
233,002706.SZ,55.3,76.9,5.1
234,002714.SZ,99.2,98.6,90.7
235,002715.SZ,12.7,5.3,72.1
236,002723.SZ,2.9,92.5,88.9
237,002727.SZ,52.7,49.5,7.1
238,002728.SZ,62.1,48.4,19.2
239,002736.SZ,35.4,49.1,57.7
240,002746.SZ,92.7,91.6,81.9
241,002756.SZ,49.1,11.8,20.2
242,002759.SZ,76.6,17.0,86.7
243,002771.SZ,14.2,14.5,27.4
244,002774.SZ,10.1,5.9,59.1
245,002782.SZ,19.5,15.4,47.2
246,002795.SZ,25.9,16.3,38.0
247,002797.SZ,85.8,94.9,69.2
248,002798.SZ,93.1,70.7,90.9
249,002800.SZ,80.2,93.4,97.5
250,002801.SZ,55.6,84.2,41.9
251,002807.SZ,42.3,19.2,11.1
252,002812.SZ,54.6,89.2,50.2
253,002818.SZ,45.2,71.1,2.9
254,002845.SZ,13.6,15.9,57.4
255,002847.SZ,51.7,90.6,39.7
256,002853.SZ,61.3,75.9,56.8
257,002859.SZ,35.3,11.1,42.9
258,002860.SZ,52.3,82.6,22.1
259,002861.SZ,16.6,44.3,33.6
260,002863.SZ,18.1,13.4,24.1
261,002865.SZ,11.1,29.7,65.3
262,002876.SZ,31.0,95.6,55.2
263,002879.SZ,29.2,58.6,7.2
264,002880.SZ,22.5,57.0,16.9
265,002885.SZ,16.2,24.8,37.6
266,002895.SZ,69.4,89.8,53.9
267,002902.SZ,11.8,32.2,41.5
268,002903.SZ,8.7,2.4,62.7
269,002909.SZ,89.5,98.2,76.5
270,002913.SZ,30.4,37.8,12.2
271,002916.SZ,79.9,80.1,42.6
272,002921.SZ,20.2,45.8,8.9
273,002922.SZ,22.7,70.1,43.0
274,002925.SZ,73.2,78.1,55.5
275,002926.SZ,26.7,86.2,37.1
276,002930.SZ,26.8,74.1,9.5
277,002936.SZ,18.4,31.8,14.4
278,002967.SZ,66.1,65.0,21.2
279,003816.SZ,42.9,50.3,35.0
280,300003.SZ,72.5,71.9,17.7
281,300005.SZ,11.2,70.8,68.6
282,300007.SZ,7.2,0.6,58.8
283,300011.SZ,4.1,80.9,83.4
284,300016.SZ,97.8,81.3,73.6
285,300019.SZ,66.5,83.8,86.4
286,300030.SZ,2.8,78.7,85.3
287,300033.SZ,24.6,83.4,34.4
288,300052.SZ,88.2,23.0,63.3
289,300057.SZ,53.4,29.6,26.6
290,300067.SZ,52.1,46.1,21.0
291,300074.SZ,11.9,39.8,71.0
292,300092.SZ,94.3,96.5,80.8
293,300105.SZ,75.5,25.9,84.8
294,300107.SZ,98.8,10.4,93.5
295,300110.SZ,62.7,52.8,47.6
296,300114.SZ,67.1,56.7,8.4
297,300119.SZ,56.8,65.7,20.5
298,300120.SZ,88.7,28.8,72.8
299,300121.SZ,45.9,10.7,63.1
